rank,gsis_id,position,season_total_mean,n_weeks,full_name,team
549,00-0034808,RB,4.610799888196723,3,John Kelly,
550,00-0036387,WR,4.609164602389686,1,Jalen Reagor,
551,00-0033455,TE,4.563582664826364,4,Anthony Firkser,DET
552,00-0039420,TE,4.554646505276453,17,Jaheim Bell,PIT
553,00-0038741,TE,4.531308084667937,6,John Stephens Jr.,
554,00-0039648,TE,4.351214985086719,17,David Martin-Robinson,TEN
555,00-0037085,RB,4.22218882561831,1,Tyler Badie,DEN
556,00-0038930,RB,4.107990776365861,1,Carlos Washington,ATL
557,00-0039614,WR,3.9666733754169727,1,Jermaine Jackson,
558,00-0038145,TE,3.948023735511054,8,,
559,00-0039471,RB,3.840737140438974,1,Frank Gore Jr.,BUF
560,00-0036133,WR,3.81954003580581,1,James Proche,TEN
561,00-0036913,WR,3.6753123233560334,1,Kadarius Toney,
562,00-0037451,TE,3.2758414524014166,4,,
563,00-0038643,TE,2.688435864069501,6,Brayden Willis,SF
564,00-0039458,TE,2.487576802223521,7,Brenden Bates,CLE
565,00-0035311,RB,2.200832836363507,2,Myles Gaskin,SEA
566,00-0031299,TE,2.0738559977445084,3,Jordan Matthews,
567,00-0034208,RB,1.8217554739630406,1,Mike Boone,
568,00-0039316,TE,1.6452012208829132,1,Baylor Cupp,
569,00-0038920,TE,1.5979788093553307,4,John Samuel Shenker,
570,00-0038397,RB,1.1898003717151797,1,Evan Hull,
571,00-0038590,TE,0.9648481953207887,8,Justin Shorter,LV
572,00-0039275,TE,0.6078975475070159,4,,
